,City,Cloudiness(%),Country,Date,Humidity(%),Lat,Lng,Max Temp(F),Wind Speed(mph)
77,Minatitlan,75,MX,Jul/22/2019,88,19.39,-104.05,87.8,19.46
78,Banjar,89,ID,Jul/22/2019,94,-7.37,108.54,69.47,1.14
79,Norman Wells,75,CA,Jul/22/2019,57,65.28,-126.83,75.2,9.17
80,Asyut,0,EG,Jul/22/2019,39,27.18,31.19,82.4,6.93
81,Dryden,90,CA,Jul/22/2019,93,49.79,-92.84,62.6,9.17
82,Kemise,98,ET,Jul/22/2019,76,10.72,39.87,49.67,4.36
83,Montauban,0,FR,Jul/22/2019,54,44.02,1.35,84.99,5.82
84,Hobart,75,AU,Jul/22/2019,66,-42.88,147.33,51.01,8.05
85,Komsomolskiy,95,RU,Jul/22/2019,71,67.55,63.78,54.53,8.88
86,Kalmunai,99,LK,Jul/22/2019,77,7.42,81.82,76.13,2.93
87,Muros,0,ES,Jul/22/2019,100,42.77,-9.06,69.8,18.57
88,Half Moon Bay,5,US,Jul/22/2019,30,37.46,-122.43,87.01,12.75
89,Islamkot,16,PK,Jul/22/2019,62,24.7,70.18,88.91,8.16
90,Chokurdakh,53,RU,Jul/22/2019,57,70.62,147.9,42.83,6.2
91,Te Anau,70,NZ,Jul/22/2019,81,-45.41,167.72,44.81,2.15
92,Diu,3,IN,Jul/22/2019,88,20.71,70.98,81.35,8.77
93,Bredasdorp,0,ZA,Jul/22/2019,66,-34.53,20.04,62.01,3.36
94,Altay,84,CN,Jul/22/2019,79,47.83,88.13,53.27,6.35
95,Okitipupa,93,NG,Jul/22/2019,94,6.5,4.78,74.33,3.69
96,Albany,90,US,Jul/22/2019,88,42.65,-73.75,66.2,5.82
97,Gao,63,ML,Jul/22/2019,40,16.28,-0.04,89.81,11.39
98,Haverfordwest,27,GB,Jul/22/2019,100,51.8,-4.97,64.99,4.7
99,Ambon,0,FR,Jul/22/2019,77,47.55,-2.56,69.01,10.29
100,Codrington,0,AU,Jul/22/2019,77,-28.95,153.24,68,5.82
101,Avarua,86,CK,Jul/22/2019,83,-21.21,-159.78,77,14.99
102,Barrow,0,AR,Jul/22/2019,63,-38.31,-60.23,40.67,1.66
103,Carnarvon,0,ZA,Jul/22/2019,35,-30.97,22.13,46.97,11.9
104,Saldanha,74,PT,Jul/22/2019,53,41.42,-6.55,73.61,2.48
105,Vao,100,EE,Jul/22/2019,72,59.1,26.19,59.39,2.93
106,Beyneu,61,KZ,Jul/22/2019,27,45.32,55.19,83.15,19.86
107,Coruripe,73,BR,Jul/22/2019,95,-10.12,-36.18,68.57,5.03
108,Riberalta,63,BO,Jul/22/2019,59,-11,-66.08,79.55,0.29
109,Lulea,0,SE,Jul/22/2019,82,65.58,22.15,60.8,0.65
110,Guarapari,75,BR,Jul/22/2019,94,-20.67,-40.5,70,3.36
111,Kirakira,1,SB,Jul/22/2019,75,-10.46,161.92,81.89,15.01
112,Fort Nelson,20,CA,Jul/22/2019,41,58.81,-122.69,78.8,4.09
113,Kharp,81,RU,Jul/22/2019,75,66.82,65.8,54.35,2.73
114,Klaksvik,54,FO,Jul/22/2019,100,62.23,-6.59,51.8,4.7
115,Salalah,90,OM,Jul/22/2019,94,17.01,54.1,78.8,2.24
116,Khatanga,100,RU,Jul/22/2019,61,71.98,102.47,61.37,13.04
117,Roald,100,NO,Jul/22/2019,93,62.58,6.12,60.8,5.82
118,Nanortalik,99,GL,Jul/22/2019,96,60.14,-45.24,39.41,4.34
119,Baruun-Urt,100,MN,Jul/22/2019,92,46.68,113.28,60.29,6.35
120,Sechura,73,PE,Jul/22/2019,87,-5.56,-80.82,64.43,15.93
121,Narsaq,31,GL,Jul/22/2019,66,60.91,-46.05,51.8,5.82
122,Jamestown,1,AU,Jul/22/2019,80,-33.21,138.6,51.11,17.76
123,La Plata,0,AR,Jul/22/2019,75,-34.92,-57.95,55.4,3.36
124,Lazaro Cardenas,40,MX,Jul/22/2019,17,28.39,-105.62,93.2,11.41
125,Maracai,97,BR,Jul/22/2019,69,-22.61,-50.67,68.21,6.02
126,Uglovskoye,99,RU,Jul/22/2019,76,51.36,80.19,64.97,5.86
127,Opuwo,0,NA,Jul/22/2019,57,-18.06,13.84,47.87,0.51
128,Santa Cruz,32,BR,Jul/22/2019,88,-6.22,-36.02,68.75,10.67
129,Georgetown,75,GY,Jul/22/2019,94,6.8,-58.16,77,6.93
130,Chicama,20,PE,Jul/22/2019,88,-7.84,-79.15,62.6,9.17
131,Zabid,66,YE,Jul/22/2019,62,14.2,44.5,74.87,1.19
132,Yeniseysk,82,RU,Jul/22/2019,97,58.45,92.17,53.45,5.68
133,Nuuk,75,GL,Jul/22/2019,87,64.17,-51.74,46.4,5.82
134,Luderitz,0,NA,Jul/22/2019,89,-26.65,15.16,54.89,8.25
135,Grand Gaube,79,MU,Jul/22/2019,86,-20.01,57.66,66,13.76
136,Panjakent,0,UZ,Jul/22/2019,29,39.5,67.61,77,9.17
137,Meulaboh,77,ID,Jul/22/2019,76,4.14,96.13,80.63,9.01
138,Tuatapere,49,NZ,Jul/22/2019,96,-46.13,167.69,46,1.99
139,Pangkalanbuun,21,ID,Jul/22/2019,89,-2.68,111.62,73.97,2.48
140,Puerto Leguizamo,85,CO,Jul/22/2019,97,-0.19,-74.78,72.53,2.33
141,Westport,90,US,Jul/22/2019,94,41.14,-73.36,73.99,11.41
142,Jutai,40,BR,Jul/22/2019,96,-1.71,-47.89,73.25,3.36
143,Noumea,0,NC,Jul/22/2019,43,-22.28,166.46,73.4,11.41
144,Progreso,0,UY,Jul/22/2019,81,-34.68,-56.22,54,8.05
145,Butaritari,100,KI,Jul/22/2019,68,3.07,172.79,85.13,7.38
146,Benito Juarez,40,CU,Jul/22/2019,62,22.29,-79.63,84.2,9.17
147,Cabo San Lucas,75,MX,Jul/22/2019,74,22.89,-109.91,89.01,11.41
148,Mount Isa,0,AU,Jul/22/2019,24,-20.73,139.49,71.6,6.93
149,Kavaratti,100,IN,Jul/22/2019,77,10.57,72.64,82.97,21.68
150,Elko,40,US,Jul/22/2019,28,40.83,-115.76,90,24.16
151,Thinadhoo,36,MV,Jul/22/2019,76,0.53,72.93,82.79,11.48
152,Waddan,0,LY,Jul/22/2019,64,29.16,16.14,70.55,1.79
153,Tamandare,15,BR,Jul/22/2019,80,-8.28,-70.75,75.59,2.8
154,Nara,75,JP,Jul/22/2019,88,34.68,135.8,84.2,4.7
155,Aykhal,0,RU,Jul/22/2019,33,65.95,111.51,71.6,4.47
156,Vallenar,85,CL,Jul/22/2019,78,-28.58,-70.76,45.89,2.21
157,Anadyr,40,RU,Jul/22/2019,54,64.73,177.51,55.4,11.18
158,Warrnambool,95,AU,Jul/22/2019,75,-38.38,142.48,54,8.99
159,Acheng,75,CN,Jul/22/2019,88,45.55,126.95,77,17.9
160,Cairns,90,AU,Jul/22/2019,78,-16.92,145.77,73,17.22
161,Dongsheng,11,CN,Jul/22/2019,83,29.72,112.52,84.77,10.02
162,Eureka,1,US,Jul/22/2019,59,40.8,-124.16,68,17.22
163,Natubleng,56,PH,Jul/22/2019,71,16.7,120.78,80.27,1.9
164,Iqaluit,40,CA,Jul/22/2019,81,63.75,-68.52,42.8,4.7
165,Portland,90,US,Jul/22/2019,88,43.66,-70.25,66.2,3.36
166,Ayagoz,9,KZ,Jul/22/2019,71,47.96,80.43,62.45,9.46
167,Saskylakh,37,RU,Jul/22/2019,39,71.97,114.09,73.25,11.54
168,Santa catarina de Tepehuanes,98,MX,Jul/22/2019,58,25.34,-105.72,65.69,7
169,Hithadhoo,67,MV,Jul/22/2019,75,-0.6,73.08,83.15,10.42
170,Isla Vista,20,US,Jul/22/2019,77,34.41,-119.86,96.01,9.17
171,Goderich,0,CA,Jul/22/2019,76,43.74,-81.71,68,17.11
172,Taltal,69,CL,Jul/22/2019,89,-25.41,-70.49,47.33,2.86
173,Nekhayevskiy,31,RU,Jul/22/2019,85,50.41,41.76,57,1.99
174,Malko Tarnovo,20,TR,Jul/22/2019,53,41.98,27.52,71.6,3.36
175,Antalaha,93,MG,Jul/22/2019,94,-14.9,50.28,59.75,4.36
176,Santa Cruz de la Palma,90,ES,Jul/22/2019,64,28.68,-17.76,71.6,11.41
177,Port Blair,40,IN,Jul/22/2019,94,11.67,92.75,77,2.24
178,Adzope,7,CI,Jul/22/2019,97,6.11,-3.86,70.91,4.29
179,Shieli,0,KZ,Jul/22/2019,26,44.18,66.74,79.37,6.8
180,Vila Velha,75,BR,Jul/22/2019,88,-3.71,-38.6,75.2,13.87
181,Calabozo,57,VE,Jul/22/2019,91,8.92,-67.43,77.03,3.22
182,Sao Filipe,35,CV,Jul/22/2019,86,14.9,-24.5,75.77,15.66
183,Thompson,75,CA,Jul/22/2019,30,55.74,-97.86,84.2,9.17
184,Lufilufi,40,WS,Jul/22/2019,79,-13.87,-171.6,86,6.93
185,Boyolangu,4,ID,Jul/22/2019,86,-8.09,111.9,68.93,4.68
186,Caravelas,44,BR,Jul/22/2019,82,-17.73,-39.27,72.53,10.38
187,Ribeira Grande,75,PT,Jul/22/2019,78,38.52,-28.7,71.6,10.29
188,Billings,40,US,Jul/22/2019,36,45.79,-108.5,91.4,11.41
189,Tezu,100,IN,Jul/22/2019,95,27.93,96.16,72.53,0.56
190,Belmonte,0,PT,Jul/22/2019,87,40.36,-7.35,80.01,1.07
191,Kiama,0,AU,Jul/22/2019,36,-34.67,150.86,66,16.11
192,Katangli,100,RU,Jul/22/2019,97,51.71,143.23,61.19,5.1
193,Bethanien,0,NA,Jul/22/2019,42,-26.5,17.16,49.13,8.41
194,Cherskiy,100,RU,Jul/22/2019,93,68.75,161.3,37.43,10.65
195,Cacheu,20,GW,Jul/22/2019,94,12.27,-16.16,82.4,2.24
196,Jinchang,0,CN,Jul/22/2019,44,38.52,102.19,65.33,6.8
197,Koutiala,83,ML,Jul/22/2019,71,12.39,-5.46,78.83,5.79
198,Lebu,40,ET,Jul/22/2019,87,8.96,38.73,55.4,11.41
199,Muisne,14,EC,Jul/22/2019,87,0.61,-80.02,73.97,15.95
200,Stephenville,90,CA,Jul/22/2019,93,48.55,-58.59,59,10.29
201,Mogok,100,MM,Jul/22/2019,97,22.92,96.51,68.39,4.25
202,Ancud,20,CL,Jul/22/2019,100,-41.87,-73.83,35.6,2.24
203,Huarmey,11,PE,Jul/22/2019,88,-10.07,-78.15,62.45,17.29
204,Tres Arroyos,0,AR,Jul/22/2019,63,-38.38,-60.28,40.67,1.66
205,Nome,1,US,Jul/22/2019,100,30.04,-94.42,86,6.76
206,Pacific Grove,1,US,Jul/22/2019,50,36.62,-121.92,91,10.29
207,Hovd,0,NO,Jul/22/2019,64,63.83,10.7,68,17.22
208,Ennis,75,IE,Jul/22/2019,82,52.84,-8.98,66.2,14.99
209,Muzambinho,90,BR,Jul/22/2019,72,-21.37,-46.52,62.45,6.53
210,Kourou,90,GF,Jul/22/2019,100,5.16,-52.64,75.2,1.12
211,Bermejo,67,AR,Jul/22/2019,55,-22.73,-64.34,54.35,0.58
212,Fortuna,0,ES,Jul/22/2019,54,38.18,-1.13,79,3.36
213,Tete,40,MZ,Jul/22/2019,67,-16.16,33.59,59,4.7
214,Borovskoy,63,KZ,Jul/22/2019,88,53.8,64.15,58.85,3.91
215,Esperance,90,AU,Jul/22/2019,87,-33.86,121.89,51.8,13.87
216,Alofi,40,NU,Jul/22/2019,53,-19.06,-169.92,77,10.29
217,Yaan,14,NG,Jul/22/2019,95,7.38,8.57,72.53,8.14
218,Myitkyina,100,MM,Jul/22/2019,99,25.38,97.4,71.45,1.36
219,Joniskis,75,LT,Jul/22/2019,93,56.24,23.62,57.2,8.05
220,Hobyo,36,SO,Jul/22/2019,65,5.35,48.53,76.31,24.74
221,Bathsheba,40,BB,Jul/22/2019,83,13.22,-59.52,80.6,17.22
222,Stuttgart,0,DE,Jul/22/2019,77,48.78,9.18,69.01,4.7
223,Agadez,1,NE,Jul/22/2019,58,16.97,7.99,86,13.62
224,San Cristobal,53,HN,Jul/22/2019,55,14.68,-86.92,75.59,6.73
225,Lower Hutt,0,NZ,Jul/22/2019,93,-41.21,174.91,55.99,9.17
226,Touros,75,BR,Jul/22/2019,74,-5.2,-35.46,78.8,6.93
227,Aksu,90,KZ,Jul/22/2019,100,52.04,76.93,60.8,8.95
228,Solnechnyy,100,RU,Jul/22/2019,98,50.72,136.64,58.31,3.11
229,Russell,1,US,Jul/22/2019,39,38.9,-98.86,82.4,14.99
230,Repnoye,20,RU,Jul/22/2019,82,51.59,43.18,57.99,3.33
231,Tuktoyaktuk,75,CA,Jul/22/2019,82,69.44,-133.03,57.2,6.93
232,Salinopolis,24,BR,Jul/22/2019,79,-0.61,-47.36,81.71,16.06
233,Arequipa,0,PE,Jul/22/2019,46,-16.4,-71.54,53.6,3.49
234,Conde,39,BR,Jul/22/2019,98,-11.81,-37.61,67.67,3.04
235,Nikolskoye,0,RU,Jul/22/2019,82,59.7,30.79,55.4,2.51
236,Sampit,48,ID,Jul/22/2019,84,-2.54,112.95,75.23,1.86
237,Broome,0,GB,Jul/22/2019,93,52.47,1.45,66.99,3.36
238,Lompoc,1,US,Jul/22/2019,72,34.64,-120.46,80.01,13.87
239,Gazojak,0,TM,Jul/22/2019,28,41.19,61.4,78.11,9.28
240,Keita,40,NG,Jul/22/2019,88,7.1,3.65,77,4.7
241,Deputatskiy,76,RU,Jul/22/2019,52,69.3,139.9,47.15,4.43
242,Guerrero Negro,71,MX,Jul/22/2019,79,27.97,-114.04,70.01,11.34
243,Santa Isabel,75,MX,Jul/22/2019,37,32.63,-115.58,102.2,8.05
244,Erenhot,0,CN,Jul/22/2019,60,43.65,111.97,69.11,10.4
245,Salvador,40,BR,Jul/22/2019,78,-12.98,-38.48,77,10.29
246,Jieshi,83,CN,Jul/22/2019,81,22.82,115.83,84.99,3.65
247,Buraydah,0,SA,Jul/22/2019,34,26.33,43.97,82.4,3.36
248,Bambous Virieux,68,MU,Jul/22/2019,86,-20.34,57.76,66,14.79
249,Gobabis,0,NA,Jul/22/2019,12,-22.45,18.97,52.01,13.18
250,Stepnogorsk,1,KZ,Jul/22/2019,94,52.35,71.88,59.75,10.02
251,Tasiilaq,0,GL,Jul/22/2019,100,65.61,-37.64,42.8,2.06
252,Surdulica,1,RS,Jul/22/2019,86,42.69,22.17,63,1.74
253,College,1,US,Jul/22/2019,36,64.86,-147.8,82,0.85
254,Deshnok,63,IN,Jul/22/2019,45,27.8,73.34,94.49,12.03
255,Longyearbyen,75,NO,Jul/22/2019,87,78.22,15.63,44.6,2.24
256,Hambantota,40,LK,Jul/22/2019,100,6.12,81.12,77,4.7
257,Sistranda,75,NO,Jul/22/2019,93,63.73,8.83,62.01,2.24
258,Tateyama,75,JP,Jul/22/2019,88,36.66,137.31,86,3.36
259,Nicolas Bravo,90,MX,Jul/22/2019,68,24.39,-104.74,66.99,5.82
260,Lacombe,40,CA,Jul/22/2019,57,52.47,-113.73,81,10.29
261,Naryan-Mar,100,RU,Jul/22/2019,70,67.67,53.09,46.97,12.82
262,Les Cayes,2,HT,Jul/22/2019,74,18.19,-73.75,82.43,12.73
263,Poronaysk,92,RU,Jul/22/2019,93,49.22,143.1,63.71,6.17
264,Sanok,0,PL,Jul/22/2019,82,49.56,22.21,64.4,5.82
265,Neepawa,20,CA,Jul/22/2019,44,50.23,-99.46,78.8,8.05
266,Khilok,99,RU,Jul/22/2019,70,51.36,110.46,61.91,7.34
267,Neiafu,31,TO,Jul/22/2019,58,-18.65,-173.98,72.71,9.84
268,Bilibino,97,RU,Jul/22/2019,87,68.06,166.44,35.81,5.91
269,Salamiyah,0,SY,Jul/22/2019,62,35.01,37.05,68.93,7.54
270,Andrushivka,63,UA,Jul/22/2019,89,50.03,29.02,58.49,7.14
271,Pout,40,SN,Jul/22/2019,78,14.77,-17.06,78.8,8.05
272,Kloulklubed,90,PW,Jul/22/2019,88,7.04,134.26,78.8,6.93
273,Syracuse,90,US,Jul/22/2019,93,43.05,-76.15,66.99,5.28
274,Amapa,75,HN,Jul/22/2019,55,15.09,-87.97,87.8,10.29
275,Zhuhai,75,CN,Jul/22/2019,82,40.71,112.04,66.2,2.24
276,Kununurra,0,AU,Jul/22/2019,60,-15.77,128.74,73.4,3.36
277,Praia da Vitoria,20,PT,Jul/22/2019,88,38.73,-27.07,71.01,10.25
278,Karratha,47,AU,Jul/22/2019,19,-20.74,116.85,67.13,18.39
279,Wanning,20,AT,Jul/22/2019,82,48.64,13.53,66.99,3.36
280,Naranjal,0,PY,Jul/22/2019,57,-25.97,-55.19,75.2,8.05
281,Praia,0,BR,Jul/22/2019,67,-20.25,-43.81,62.6,5.82
282,Kaitangata,97,NZ,Jul/22/2019,78,-46.28,169.85,53.01,1.99
283,Kamina,0,CD,Jul/22/2019,41,-8.74,25,57.59,5.23
284,Dunmore Town,100,BS,Jul/22/2019,78,25.5,-76.65,83.87,16.84
285,Pontes e Lacerda,0,BR,Jul/22/2019,42,-15.23,-59.33,77.93,4.09
286,Lavrentiya,100,RU,Jul/22/2019,80,65.58,-170.99,48.41,14.81
287,Usinsk,93,RU,Jul/22/2019,87,66,57.56,57.41,17.02
288,Storforshei,31,NO,Jul/22/2019,93,66.4,14.52,57,1.01
289,Leningradskiy,84,RU,Jul/22/2019,89,69.38,178.42,38.87,7.09
290,Port Lincoln,44,AU,Jul/22/2019,70,-34.72,135.86,57.95,33.22
291,Iquitos,20,PE,Jul/22/2019,83,-3.75,-73.25,80.6,1.48
292,Veraval,0,FR,Jul/22/2019,77,49.65,0.71,66,5.82
293,Kayerkan,75,RU,Jul/22/2019,93,69.35,87.76,55.4,15.66
294,Romodanovo,5,RU,Jul/22/2019,89,54.42,45.33,54.53,3.2
295,Lata,7,IN,Jul/22/2019,86,30.78,78.62,40.85,2.53
296,Rome,0,IT,Jul/22/2019,60,41.89,12.48,77,2.24
297,Xuddur,19,SO,Jul/22/2019,61,4.12,43.89,70.73,23.15
298,Havre-Saint-Pierre,20,CA,Jul/22/2019,76,50.23,-63.6,57.2,11.41
299,Lagoa,0,PT,Jul/22/2019,78,37.14,-8.45,75.2,3.36
300,Mandera,35,ET,Jul/22/2019,61,3.94,41.86,82,1.99
301,Luanda,8,AO,Jul/22/2019,100,-8.83,13.24,68,5.82
302,Geraldton,75,CA,Jul/22/2019,100,49.72,-86.95,59,3.36
303,Mwinilunga,0,ZM,Jul/22/2019,59,-11.73,24.43,50.57,3.6
304,Itatskiy,0,RU,Jul/22/2019,92,56.07,89.04,51.11,2.93
305,Kaa-Khem,65,RU,Jul/22/2019,64,51.7,94.56,59.03,6.2
306,Bud,100,NO,Jul/22/2019,87,62.91,6.91,60.8,5.82
307,Buala,92,SB,Jul/22/2019,77,-8.15,159.59,82.43,8.43
308,Daru,100,PG,Jul/22/2019,87,-9.07,143.21,77.57,10.18
309,Arica,90,CL,Jul/22/2019,77,-18.48,-70.32,60.8,6.93
310,Severo-Kurilsk,100,RU,Jul/22/2019,95,50.68,156.12,46.07,13.67
311,Kahului,75,US,Jul/22/2019,51,20.89,-156.47,86,13.87
312,Vardo,90,US,Jul/22/2019,100,39.62,-77.74,79,6.93
313,Tulun,81,RU,Jul/22/2019,85,54.56,100.58,62.81,1.25
314,Beira,0,ES,Jul/22/2019,93,43.2,-8.36,69.01,2.24
315,Arroyos y Esteros,75,PY,Jul/22/2019,73,-25.05,-57.1,73.4,5.37
316,Machiques,94,VE,Jul/22/2019,95,10.06,-72.55,58.85,2.21
317,Kendari,3,ID,Jul/22/2019,76,-3.99,122.52,75.23,2.62
318,San Patricio,96,PY,Jul/22/2019,78,-26.98,-56.83,69.65,2.73
319,Coquimbo,0,CL,Jul/22/2019,71,-29.95,-71.34,51.8,4.7
320,San Quintin,31,PH,Jul/22/2019,77,17.54,120.52,79.55,2.77
321,Katima Mulilo,0,NA,Jul/22/2019,68,-17.5,24.28,52.55,6.58
322,Basco,1,US,Jul/22/2019,53,40.33,-91.2,78.8,8.05
323,Alugan,96,PH,Jul/22/2019,75,12.22,125.48,82.43,3.47
324,Ferrol,0,ES,Jul/22/2019,93,43.48,-8.23,69.01,2.24
325,Nakamura,75,JP,Jul/22/2019,83,35.17,136.87,87.01,6.93
326,La Roda,0,ES,Jul/22/2019,43,39.21,-2.16,75.99,8.05
327,New Norfolk,75,AU,Jul/22/2019,66,-42.78,147.06,51.01,8.05
328,Sitka,14,US,Jul/22/2019,43,37.17,-99.65,82,4
329,Grindavik,75,IS,Jul/22/2019,100,63.84,-22.43,55.4,5.82
330,Almaznyy,0,RU,Jul/22/2019,77,48.03,40.04,64.4,2.24
331,Labuhan,3,ID,Jul/22/2019,73,-2.54,115.51,74.69,0.63
332,Lubango,0,AO,Jul/22/2019,82,-14.92,13.49,58.13,2.86
333,Kentau,0,KZ,Jul/22/2019,25,43.52,68.5,73.61,8.93
334,Panaba,1,MX,Jul/22/2019,75,21.28,-88.27,82.97,12.01
335,Puerto Carreno,40,CO,Jul/22/2019,78,6.19,-67.49,82.4,3.29
336,Kokopo,94,PG,Jul/22/2019,69,-4.34,152.27,82.25,2.42
337,Crixas,68,BR,Jul/22/2019,45,-14.55,-49.97,72.53,4.85
338,Krasnyy Chikoy,100,RU,Jul/22/2019,97,50.36,108.75,57.95,3.09
339,Kargasok,49,RU,Jul/22/2019,76,59.06,80.87,59.03,1.63
340,Cangzhou,95,CN,Jul/22/2019,86,38.3,116.85,79.73,4.21
341,Saint George,0,GR,Jul/22/2019,64,39.45,22.34,80.01,1.81
